Month,Forecast_Revenue,Lower_Bound,Upper_Bound
Jan 2026,48336955.0,43503259.0,53170650.0
Feb 2026,48231002.0,43407902.0,53054103.0
Mar 2026,49024862.0,44122376.0,53927348.0
Apr 2026,49391629.0,44452466.0,54330792.0
May 2026,50148379.0,45133541.0,55163217.0
Jun 2026,50481732.0,45433559.0,55529905.0
Jul 2026,50553518.0,45498166.0,55608870.0
Aug 2026,50278067.0,45250261.0,55305874.0
Sep 2026,50122607.0,45110347.0,55134868.0
Oct 2026,49552068.0,44596861.0,54507274.0
Nov 2026,49552068.0,44596861.0,54507274.0
Dec 2026,49552068.0,44596861.0,54507274.0
